,231.5,232,232.5,233,233.5,234,234.5,235,235.5,236,236.5
68.7,120,335,550,765,981,1196,1411,1627,1842,2057,2272
,50,58,65,68,71,72,71,68,65,58,50
68.5,110,327,544,762,979,1196,1413,1630,1848,2065,2282
,286,294,301,306,309,310,309,306,301,294,286
68,83,306,529,751,973,1196,1419,1641,1863,2086,2309
,878,887,894,898,902,902,902,898,894,887,878
67.6,63,290,516,743,969,1196,1423,1649,1876,2102,2329
,1353,1363,1370,1374,1378,1379,1378,1374,1370,1363,1353
