"Time from drop (sec)","Geodetic Altitude (m)","Geocentric Radius (m)","Inertial FPA (deg)","Relative FPA (deg)","AoA (deg)","Sideslip (deg)","Bank Angle (deg)","Inertial Pitch (deg)","Inertial Yaw (deg)","Inertial Roll (deg)","Inertial Roll Rate (deg/sec)","Inertial Pitch Rate (deg/sec)","Inertial Yaw rate (deg/sec)","Ideal Velocity (m/s)","Inertial Velocity (m/s)","Relative Velocity (m/s)","Inertial Pos X (m)","Inertial Pos Y (m)","Inertial Pos Z (m)","Inertial Velocity X (m/s)","Inertial Velocity Y (m/s)","Inertial Velocity Z (m/s)","Acceleration X (m/s^2)","Acceleration Y (m/s^2)","Acceleration Z (m/s^2)","Mach Number","Dynamic Pressure (Pa)","Alpha*Q (deg*Pa)","Beta*Q (deg*Pa)","Stage Prop Mass (kg)","Vehicle Mass (kg)","Net Thrust (N)","AtmDens (kg/m^3)","AtmPres (Pa)","Geodetic Latitude (deg N)","Longitude (deg E)","Mean Anomaly (deg)","Time of Vacuum Impact (sec)","Geodetic Latitude of Vacuum Impact Point (deg N)","Geodetic Longitude of Vacuum Impact Point (deg N)","TotalAeroHeat (J/m^2)","AeroHeatRate (W/m^2)","Apogee Altitude over Equatorial Radius (m)","Perigee Altitude over Equatorial Radius (m)","Inclination (deg)","True Anomaly (deg)","Apogee Radius (m)","Perigee Radius (m)","ECI Longitude of Ascending Node (deg)","Argument of Perigee (deg)","Earth-relative longitude of nearest Ascending Node Crossing (deg)","Aero Force on body X axis (N)","Aero Force on Body Y axis (N)","Aero Force on Body Z axis (N)","XBodyAccel (m/s^2)","YBodyAccel (m/s^2)","ZBodyAccel (m/s^2)","Earth-relative Azimuth (deg)","Inertial Azimuth (deg)","Downrange (m)","Crossrange (m)","Eccentricity","Period (s)","A (m)","Lift (N)","Drag (N)","ECI2Body11","ECI2Body12","ECI2Body13","ECI2Body21","ECI2Body22","ECI2Body23","ECI2Body31","ECI2Body32","ECI2Body33"
80,58296.99288,6429356.712,28.70802,27.65082,1.078619,0.2004784,0.201299,-62.10252,-0.1839666,-17.26393,-0.02011539,-0.2569107,-0.000915756,3017.8982568,2501.4582432,2574.4313256,-2862228.6672,-4416698.304,3692837.928,-1458.1211376,-1715.5390632,-1090.0007664,4.327623552,6.635502096,-5.501953944,8.037497,1302.79455510732,1405.21904751287,261.182168352611,1.00852770808251,7987.2853637115,774.305939967849,0.000390117594257067,28.8348900615205,35.23513,-123.2794,154.7859,315.2906,29.18821,-125.5164,7507872.47139102,90147.1662118031,133375.92848,-6118596.856,96.22611,177.3605,6511512.504,259540.58328,52.6647,327.345,55.84018,-1422.02661331942,-33.1019082132306,-218.29958952404,-0.08108591352,-0.004143804768,-0.027970316424,-162.7968,-172.3867,88349.54888,6075.508224,0.9233382,1960.4256,3385526.376,191.465870558845,1425.68794453094,-0.6952527,-0.5916542,-0.4081286,-0.7072913,0.664217,0.2419811,0.1279168,0.4569038,-0.8802705
90,69799.44384,6440926.92,26.93598,25.91144,0.01519244,0.3100934,0.2273763,-65.0212,-0.233622,-17.26331,-0.03070041,-0.2178684,-0.0001106955,3018.263712,2456.0881536,2530.5846264,-2876592.9768,-4433520.216,3681663.96,-1414.8453288,-1649.144784,-1144.9470624,4.303651032,6.618570456,-5.493355536,8.559137,278.353465630729,4.2288673059913,86.3155623136927,0,7986.264780879,125.265212369731,0.0000866926441101471,5.42953997192982,35.04094,-123.3527,156.6261,305.2447,29.19011,-125.5155,8128054.66481277,39945.344743325,133348.98188,-6118695.012,96.22322,177.5566,6511485.072,259442.07192,52.66675,327.3443,55.84223,-300.588887026741,-10.1553477745207,-11.282651682033,-0.02195073588,-0.0012714421104,-0.0015165927504,-162.7584,-172.4083,110829.92124,7904.13228,0.9233659,1960.371,3385462.368,11.2014049142302,300.550543356418,-0.6875716,-0.5678714,-0.4525123,-0.707677,0.6636235,0.2424813,0.1625995,0.4869558,-0.8581582
90.76,70637.30856,6441768.168,26.79865,25.77681,-0.01008658,0.3113993,0.1834974,-65.19362,-0.2756967,-17.28421,-0.09174413,-0.2355708,0.003244378,3018.275904,2452.7832072,2527.3948944,-2877667.092,-4434772.944,3680792.232,-1411.5763488,-1644.1161936,-1149.1212984,4.301121192,6.61656792,-5.492428944,8.583982,245.363248989393,-2.47487648200091,76.4059766335685,0,7986.2284934894,117.721695743491,0.0000766222450745077,4.75796954426127,35.02621,-123.3582,156.766,304.4834,29.19014,-125.5155,8157422.64281301,37396.0770598054,133348.20404,-6118695.012,96.22311,177.5714,6511485.072,259441.3404,52.66682,327.3443,55.84231,-264.710732497886,-9.4495662437138,-7.82302507965603,-0.01840332108,-0.0011830836384,-0.0010771912416,-162.7556,-172.4098,112535.00208,8043.778636,0.9233661,1960.3704,3385462.368,7.86854373144499,264.672967096373,-0.6870951,-0.5663874,-0.4550885,-0.7077959,0.6632357,0.2431939,0.164089,0.4892071,-0.8565928
91.6,71557.40832,6442694.76,26.6464,25.62761,-0.04358521,0.3430837,0.1138321,-65.39378,-0.354287,-17.29803,-0.09248692,-0.2235488,-0.07198812,3019.4054928,2449.2429552,2523.9820488,-2878851.24,-4436150.64,3679822.968,-1408.0290864,-1638.6112008,-1153.7758992,4.146264504,6.490673328,-5.591604768,8.607088,213.866992188761,-9.32143894288743,73.3742943954516,3945.29880706115,5775.2695966273,29593.1465548915,0.0000669614691237273,4.12442753348526,35.00994,-123.3644,156.9195,303.6517,29.18977,-125.5156,8187736.61948588,34815.4653626429,133352.85256,-6118676.492,96.22334,177.5876,6511491.168,259461.3048,52.66667,327.3445,55.84215,-158.913384438424,-2.57733785858782,0.327423851493988,5.095948152,0.009573603408,-0.0003308856984,-162.7524,-172.411,114419.04168,8198.716956,0.9233605,1960.3812,3385474.56,6.8584904974894,230.698028667823,-0.6862685,-0.5649075,-0.4581649,-0.7082611,0.6623746,0.2441847,0.165535,0.4920767,-0.8546688
100,80725.39608,6451921.056,25.39245,24.52117,8.222879,35.40766,4.926688,-59.98514,-9.792714,18.41554,1.666465,0.505474,-0.996735,3199.702008,2585.2270368,2653.7280936,-2890879.2576,-4450171.44,3669615.216,-1442.0761608,-1723.889364,-1277.5054968,-0.329952096,-16.93797984,-14.601379992,9.292397,59.5548546472521,489.712106812028,2108.6978373711,3593.79783255416,5423.6901506403,142083.048652708,0.0000168696114041144,0.987387179495075,34.84202,-123.426,156.6129,315.2219,28.39122,-125.5914,8414567.34082601,20460.3954448208,144909.75852,-6080319.72,95.46066,177.3682,6523046.136,297816.48336,53.20151,327.787,56.37182,-44.2520918555611,-213.994511680358,-38.1738327740532,26.185121112,-0.10913604792,-0.07303538352,-164.2051,-173.3561,133825.57556,9654.237092,0.9126748,1982.097,3410431.584,1.90986129857639,64.2417058719698,-0.174487,-0.9191453,-0.3531659,-0.9587292,0.2403575,-0.1518768,0.224483,0.31209,-0.9231507
110,92060.38992,6463332.768,24.75722,24.13075,1.494263,29.65417,17.79399,-60.23941,2.845584,21.10424,0.1759001,-0.03345139,0.578276,3506.827632,2822.0514552,2871.4061952,-2905352.6856,-4468422.864,3656060.76,-1459.8859296,-1938.6352896,-1440.2781456,-3.8512242,-24.7300242,-18.181140168,10.48147,10.6752341134528,15.9516003488787,316.565216034906,3043.62657513376,4873.4009592037,171717.101053573,0.0000025795369545467,0.139713159296851,34.62544,-123.4914,154.908,343.5633,26.90283,-125.4887,8562898.34278058,10276.4857895145,168092.50188,-6014903.376,93.0835,176.8541,6546229.224,363233.8176,54.85056,328.6406,58.00497,-7.93221112742421,-31.6884635538735,-0.588827553632009,35.22945456,-0.022926403728,-0.07603626144,-167.7541,-176.2599,158578.59268,10302.724152,0.8948591,2020.842,3454731.216,0.342343587131517,11.5153603958353,-0.2376858,-0.897707,-0.370982,-0.8747052,0.363887,-0.3201204,0.4223699,0.2484118,-0.8717197
120,104365.9584,6475719.84,24.35855,23.92045,3.113658,21.13212,14.58915,-60.93016,4.413041,15.4371,-0.2823747,-0.0195393,0.5667654,3906.618552,3162.677952,3195.236688,-2920250.0904,-4489176.696,3640659.216,-1529.711952,-2223.6110976,-1648.6543608,-9.828461928,-31.54277664,-23.160782736,10.95728,1.28249907093073,3.99326339442935,27.101921544038,2407.44467892159,4237.187765118,190239.762752815,0.000000250620885626572,0.0157163598484824,34.38442,-123.5457,152.0249,388.0272,24.61519,-125.4249,8633443.9508779,4475.11088524964,202589.1688,-5910450.576,91.14752,175.9631,6580726.488,467687.2536,56.17542,329.821,59.32068,-0.95295808541291,-2.62004345502729,-0.167871880360478,44.89164504,-0.01690966392,-0.10064273496,-170.9328,-178.6124,185762.8228,9409.971256,0.8672929,2082.1068,3524207.328,0.0411283993977903,1.38342983918597,-0.3214551,-0.8559918,-0.4049008,-0.8570731,0.4448148,-0.2599336,0.4026069,0.2634726,-0.8766356
127.6,114672.34368,6486098.28,24.1756,23.83252,4.147449,14.78862,11.22864,-61.73458,4.33342,10.29768,-0.373217,-0.3091928,0.8475919,4275.926424,3494.309496,3517.434672,-2932222.9392,-4507041.024,3627412.608,-1628.1614376,-2482.9425576,-1842.357504,-15.81634632,-36.15696096,-27.52699092,9.860614,0.291948203323533,1.21084003893299,4.31751138105972,1891.5754372977,3721.31308038567,194376.831266088,0.000000047119714458033,0.00455443439375658,34.18008,-123.5806,148.9614,436.3476,22.09699,-125.4471,8659274.37081663,2622.53545106264,239813.8132,-5794567.232,90.15975,174.9175,6617951.712,583569.7752,56.84472,331.0778,59.99295,-0.216931450001834,-0.39530398023616,-0.0579217170832238,52.22653512,-0.0405603456,-0.15401428176,-172.808,-179.8073,208589.0932,7666.935528,0.8379315,2150.316,3600760.896,0.00936247451270861,0.314924081861809,-0.3850081,-0.8173057,-0.4286959,-0.8465727,0.4977314,-0.1886216,0.3675369,0.2903014,-0.8835393
130,118140.20568,6489591.288,24.13433,23.81322,4.253136,12.80643,10.18221,-62.12873,4.23765,8.524564,-0.3893942,0.0951475,0.368553,4409.562936,3617.6712,3638.531712,-2936181.3768,-4513109.592,3622907.664,-1671.3775056,-2575.51428,-1913.3131152,-18.582829992,-38.96825328,-29.949577896,9.526947,0.198662185027225,0.844937184594909,2.54415442871956,1727.42444092603,3390.13168327757,193601.01693417,0.0000000299659283272448,0.00336413690113651,34.11106,-123.5907,147.7677,455.7526,21.07422,-125.4801,8665182.03599673,2326.5593813651,254746.1188,-5747594.956,89.94902,174.4789,6632883.864,630543.1128,56.98671,331.5852,60.13898,-0.147615479804472,-0.226227966284432,-0.041694195394365,57.09976896,-0.02313433524,-0.16284604464,-173.2877,179.9386,216266.9296,6931.26742,0.8263786,2178.102,3631713.336,0.00637088978868939,0.214296634892467,-0.4056835,-0.8025693,-0.4373824,-0.841903,0.5144131,-0.163029,0.3558374,0.3020954,-0.8843744
140,133942.43976,6505501.848,24.05636,23.78958,4.327613,5.439254,6.16616,-63.58307,3.519677,1.585078,-0.3765093,-0.1460895,0.6576153,5029.55052,4195.407408,4210.812,-2953985.964,-4540907.352,3602175.168,-1905.0728472,-2990.136768,-2243.0390496,-27.68470968,-43.00151928,-35.7566976,8.577322,0.0577619304694745,0.249971388754437,0.314181880383642,1059.78772822384,2722.49451698301,182171.978727001,0.00000000650978077785356,0.00126400149047886,33.79606,-123.63,141.7578,561.0643,15.43943,-125.8107,8684750.46712287,1716.16651394343,337091.0392,-5496717.48,89.58144,171.996,6715228.632,881419.116,57.23321,334.381,60.42114,-0.0429198895157851,-0.0195631852512618,-0.0125899706700932,66.90484968,-0.027113264544,-0.2154641868,-174.6177,179.4974,251171.3884,2971.711792,0.7679452,2329.6938,3798323.112,0.00185236536526618,0.0623077080780869,-0.4846195,-0.741604,-0.4638614,-0.8185565,0.5714475,-0.05842116,0.3083978,0.3513847,-0.8839794
