"Time from drop (sec)","Geodetic Altitude (m)","Geocentric Radius (m)","Inertial FPA (deg)","Relative FPA (deg)","AoA (deg)","Sideslip (deg)","Bank Angle (deg)","Inertial Pitch (deg)","Inertial Yaw (deg)","Inertial Roll (deg)","Inertial Roll Rate (deg/sec)","Inertial Pitch Rate (deg/sec)","Inertial Yaw rate (deg/sec)","Ideal Velocity (m/s)","Inertial Velocity (m/s)","Relative Velocity (m/s)","Inertial Pos X (m)","Inertial Pos Y (m)","Inertial Pos Z (m)","Inertial Velocity X (m/s)","Inertial Velocity Y (m/s)","Inertial Velocity Z (m/s)","Acceleration X (m/s^2)","Acceleration Y (m/s^2)","Acceleration Z (m/s^2)","Mach Number","Dynamic Pressure (Pa)","Alpha*Q (deg*Pa)","Beta*Q (deg*Pa)","Stage Prop Mass (kg)","Vehicle Mass (kg)","Net Thrust (N)","AtmDens (kg/m^3)","AtmPres (Pa)","Geodetic Latitude (deg N)","Longitude (deg E)","Mean Anomaly (deg)","Time of Vacuum Impact (sec)","Geodetic Latitude of Vacuum Impact Point (deg N)","Geodetic Longitude of Vacuum Impact Point (deg N)","TotalAeroHeat (J/m^2)","AeroHeatRate (W/m^2)","Apogee Altitude over Equatorial Radius (m)","Perigee Altitude over Equatorial Radius (m)","Inclination (deg)","True Anomaly (deg)","Apogee Radius (m)","Perigee Radius (m)","ECI Longitude of Ascending Node (deg)","Argument of Perigee (deg)","Earth-relative longitude of nearest Ascending Node Crossing (deg)","Aero Force on body X axis (N)","Aero Force on Body Y axis (N)","Aero Force on Body Z axis (N)","XBodyAccel (m/s^2)","YBodyAccel (m/s^2)","ZBodyAccel (m/s^2)","Earth-relative Azimuth (deg)","Inertial Azimuth (deg)","Downrange (m)","Crossrange (m)","Eccentricity","Period (s)","A (m)","Lift (N)","Drag (N)","ECI2Body11","ECI2Body12","ECI2Body13","ECI2Body21","ECI2Body22","ECI2Body23","ECI2Body31","ECI2Body32","ECI2Body33"
150,152241.62592,6523923.96,24.00593,23.7471,3.587367,-0.9554937,2.688375,-65.25362,2.642286,-5.396187,-0.3807418,-0.1292266,0.5760203,5739.319992,4863.559488,4880.192424,-2974612.9992,-4572996.696,3577846.032,-2234.7756168,-3426.802392,-2630.02014,-36.43698072,-42.82260168,-40.1895564,8.385801,0.0260891487300341,0.0935913507078265,-0.0249280189335797,452.300901804136,2115.00778128178,154327.090024225,0.00000000218966885517562,0.000619884166901867,33.43121,-123.6696,133.9009,722.3309,6.645869,-126.7156,8701081.15249191,1583.34398482611,466148.9556,-5132488.344,90.05181,168.0004,6844287.048,1245648.7152,56.92309,338.741,60.1905,-0.0193854832459537,0.000875619080299184,-0.00413287161617903,72.95793384,-0.03597530016,-0.26855415936,-174.8289,-179.938,291484.9836,-2118.44724,0.6920498,2560.2564,4044967.272,0.000836651769305179,0.0281423234893014,-0.5608533,-0.671551,-0.4842137,-0.7836795,0.6192373,0.04890369,0.2670019,0.4068961,-0.873582
160,173205.648,6545031.36,23.90007,23.6285,1.549984,-6.875191,-0.374374,-67.87234,1.792912,-12.70926,-0.1842914,-1.515512,2.008419,6383.09112,5462.74752,5484.67788,-2998815.948,-4609240.464,3549566.688,-2573.7290664,-3774.615768,-2994.9669336,-11.554123704,-8.889802896,-17.562313872,8.461793,0.0140318988213729,0.0217492150236939,-0.0964719707288605,16.685304611976,1679.39218408962,29773.953418887,0.000000000931979617074334,0.00033963967044271,33.01334,-123.7169,125.6872,926.3466,-4.468974,-128.2763,8716702.05494332,1493.3242047741,633696.062,-4721051.728,90.9528,162.9126,7011832.56,1657084.5192,56.33649,344.2399,59.71316,-0.0104263690210953,0.0069405735309558,-0.000805665012711112,17.726701656,0.03313163808,-0.03522216984,-174.2912,-178.8659,337698.8656,-7737.9801,0.6176952,2839.9668,4334457.168,0.000449988326110014,0.0151361861013277,-0.6349074,-0.5823712,-0.5076774,-0.7335405,0.6606626,0.1595096,0.2425097,0.4736758,-0.8466524
165.6,185472.50688,6557381.856,23.65253,23.38075,0.9397453,-9.715957,-2.361207,-68.76086,0.8387059,-16.26834,-0.3749141,-0.3005211,0.6524754,6407.526936,5464.65252,5487.11628,-3013227.5016,-4630332.624,3532665.528,-2565.0593352,-3751.140072,-3035.1033024,3.96325344,6.298838304,-5.231254968,8.131527,0.00944015804502918,0.00887134535636869,-0.091720190186875,2.47108278124785,1665.17795999093,612.075739082006,0.000000000626152280103356,0.000252515985117947,32.76725,-123.7463,126.0367,929.6964,-4.93703,-128.3575,8724302.97825173,1226.64570261137,640690.6956,-4704394.84,91.00208,162.9265,7018827.72,1673741.5344,56.30474,344.4706,59.68647,-0.00701448962953659,0.00758170460880653,-0.000311613982229029,0.3675183912,-0.0005219096496,-0.0018346168032,-174.2254,-178.8105,364947.3416,-10884.5281,0.6149029,2851.5972,4346283.408,0.000302736043600428,0.0101830868845135,-0.66882,-0.5411305,-0.5097623,-0.7088838,0.6707881,0.2180069,0.2239723,0.5071696,-0.8322352
170,195002.07888,6566976.96,23.45273,23.18155,0.3612538,-12.17227,-3.901364,-69.45496,0.1668435,-19.23519,-0.394631,-0.1140119,0.4961023,6408.615072,5449.467384,5472.12012,-3024474.3168,-4646776.584,3519260.424,-2547.0730872,-3722.936928,-3057.589008,4.118966616,6.436815168,-5.067598704,7.915618,0.00712749844404588,0.00257483561987157,-0.086757832265894,1.83770771462124,1664.54474504241,304.762608886124,0.00000000047513984407892,0.000204329723402468,32.57434,-123.7694,126.5757,925.7114,-4.959061,-128.3616,8729320.29173994,1060.10859847146,641008.1284,-4703587.368,91.00488,163.1078,7019144.712,1674549.2544,56.30296,344.4814,59.68495,-0.00529607044801561,0.00762561745259238,-0.000090443421510068,0.18305833848,0.0000090330528,-0.0014989213608,-174.2023,-178.8098,386310.9024,-13333.22398,0.6147669,2852.151,4346847.288,0.000228571378395783,0.00768842189357825,-0.6970926,-0.5052401,-0.5087184,-0.6850991,0.6786104,0.2648151,0.2114264,0.5331232,-0.8191938
175.6,206981.02368,6579037.896,23.19671,22.92634,0.1122836,-14.71906,-5.952916,-69.6863,-0.9848137,-22.48929,-0.3927908,0.07280187,0.4010332,6409.438032,5429.853504,5452.747032,-3038672.8152,-4667524.32,3502060.56,-2523.8442792,-3686.757168,-3085.664136,4.167640128,6.471477024,-4.976265384,7.700728,0.0051678169002915,0.00058026085858269,-0.0760653564711824,1.35477200061357,1664.05622605992,191.033369971194,0.000000000346731407650391,0.000159477890802638,32.32957,-123.7988,127.2701,920.4255,-4.975937,-128.365,8734779.37411609,896.444241321076,641244.0732,-4702953.984,91.00733,163.3434,7019382.456,1675183.2384,56.30141,344.4897,59.68362,-0.00383993309206173,0.00695828634942777,-0.0000203821873668419,0.11478307752,0.000008982644976,0.000012106939464,-174.1739,-178.8101,413418.8116,-16421.900684,0.6146596,2852.5794,4347283.152,0.000165726414111005,0.00557451577646607,-0.7272885,-0.4714089,-0.4988238,-0.6599139,0.6800178,0.3195144,0.1885871,0.5615599,-0.8056584
180,216275.16816,6588395.256,22.99427,22.72458,0.8725753,-15.65744,-6.95641,-69.00894,-1.709853,-23.83815,-0.2068546,0.2120757,0.1381795,6409.855608,5414.42148,5437.497888,-3049737.36,-4683684.816,3488436,-2505.4486848,-3658.24008,-3107.40552,4.189808232,6.487716768,-4.916984832,7.566139,0.00410152161758907,0.00357888656589957,-0.0642193494771165,1.11007116399256,1663.78724578451,124.487974606897,0.000000000276572270647943,0.000133001591874541,32.13786,-123.8218,127.819,916.1863,-4.984668,-128.3668,8738492.95834117,794.331350266231,641362.7864,-4702618.772,91.00864,163.5301,7019501.328,1675518.5184,56.30058,344.494,59.68291,-0.0030476265336834,0.00594053769207778,-0.000125711591408822,0.07481081304,0.000007167207408,0.000008246364,-174.1523,-178.811,434653.8436,-18825.91336,0.6146026,2852.8026,4347508.704,0.000131531511123581,0.00442430530692389,-0.7408001,-0.4658697,-0.4839222,-0.6506054,0.6768519,0.3443606,0.1671164,0.5699447,-0.8045092
190,237012.23616,6609277.104,22.52992,22.2619,4.589945,-15.98656,-6.833704,-66.16586,-1.819448,-24.40871,-0.02405349,0.1843092,-0.004423608,6410.364624,5379.585888,5403.06768,-3074581.608,-4719940.776,3457117.8,-2463.3731784,-3593.296344,-3155.941872,4.214810976,6.49664436,-4.808040168,7.337227,0.0025633438789137,0.011765611251212,-0.0409790570043087,0.81169719582182,1663.45657694678,60.9539807939146,0.000000000174794333909781,0.0000911557298137558,31.70408,-123.8742,129.073,906.3901,-4.995953,-128.369,8745511.29183079,620.456794236928,641508.9092,-4702168.736,91.01034,163.9566,7019644.584,1675968.0984,56.29953,344.4995,59.68203,-0.00190468712719352,0.003804301502457,-0.000631741771665234,0.03663720384,0.000004267007976,0.000003893631024,-174.1049,-178.8145,482705.4652,-24218.604,0.6145256,2853.096,4347807.408,0.0000822037582010402,0.00276507549668206,-0.7535357,-0.4877546,-0.4407713,-0.6450905,0.677776,0.3528142,0.1266574,0.5501955,-0.8253744
200,257213.7096,6629622.504,22.05966,21.79344,6.145255,-15.73621,-6.684767,-65.51514,-2.101422,-24.41767,-0.02681487,0.02266909,-0.01624539,6410.648088,5345.442192,5369.323272,-3099005.232,-4755550.56,3425318.016,-2421.1891632,-3528.358704,-3203.481528,4.219873704,6.49099032,-4.711897104,7.179511,0.00169552280334173,0.0104194194657727,-0.0266811019478598,0.64474889530436,1663.26561455901,38.1968834584635,0.000000000116850757198771,0.0000648258008373614,31.27294,-123.9263,130.3302,896.5104,-5.002856,-128.3703,8751073.71859975,498.892444280765,641590.7676,-4701876.12,91.0113,164.3828,7019726.88,1676260.7064,56.29894,344.5028,59.68156,-0.00125985468413674,0.0024702553748215,-0.000704248228816142,0.022961346,0.0000027751881504,0.000002299263372,-174.0589,-178.8188,530472.2492,-29515.8796,0.614475,2853.2802,4347993.336,0.0000543736375940275,0.00182895793348236,-0.753699,-0.4952517,-0.4320457,-0.6470518,0.674356,0.355764,0.1151599,0.5476949,-0.828715
210,276881.29536,6649431.456,21.58355,21.31927,7.273882,-15.36573,-6.211369,-65.39426,-2.116783,-24.20239,0.1540527,0.003771182,-0.02253475,6410.84316,5312.112312,5336.386584,-3123005.184,-4790508.072,3393051.888,-2378.9889936,-3463.485072,-3250.109832,4.219425648,6.483845808,-4.62349596,7.066494,0.00116967785909019,0.00850810177161437,-0.0179729564542256,0.53100652619553,1663.14133024963,27.994882735642,0.0000000000814104750625534,0.0000474324397061187,30.84437,-123.9783,131.5888,886.5958,-5.007946,-128.3712,8755597.02317728,409.996960370297,641645.5868,-4701646.472,91.01194,164.8072,7019781.744,1676489.6112,56.29856,344.5052,59.68128,-0.000869126900851711,0.00165707642615789,-0.000629200057834275,0.016829894712,0.0000019580211792,0.0000016319074296,-174.0138,-178.8233,577963.2704,-34719.8144,0.6144349,2853.4194,4348136.592,0.0000375103493825858,0.00126173005436973,-0.7516705,-0.4988572,-0.4314312,-0.6495554,0.6733224,0.3531499,0.1143209,0.5456908,-0.830152
220,296016.76128,6668703.96,21.10162,20.83941,8.466228,-14.73549,-4.266027,-65.60884,-0.8246441,-23.33228,0.1538683,-0.003092995,-0.02839683,6410.992512,5279.632824,5304.300288,-3146584.512,-4824819.408,3360319.416,-2336.8022352,-3398.68764,-3295.875552,4.217938224,6.476106936,-4.53777096,6.982202,0.000834076026647809,0.00706147635493789,-0.0122905177423876,0.444073960911735,1663.04879740615,21.3225458645296,0.000000000058588109461293,0.0000355278081229572,30.41827,-124.0302,132.8481,876.6623,-5.012066,-128.3719,8759345.81263508,342.816177563648,641685.2196,-4701450.16,91.01243,165.2297,7019821.368,1676686.512,56.29827,344.5071,59.68109,-0.000619758262633723,0.00112454378599997,-0.000556673583686098,0.012819375936,0.0000014167427088,0.0000012037368864,-173.9696,-178.8279,625187.6036,-39833.35308,0.6144001,2853.5364,4348255.464,0.0000267479483560089,0.000899716431255534,-0.748354,-0.5000867,-0.4357517,-0.6495699,0.6855056,0.328848,0.1342578,0.5291459,-0.8378421
230,314621.8752,6687446.112,20.61395,20.35394,9.73901,-14.0064,-2.363849,-65.69676,0.4482626,-22.41623,0.153502,-0.02268329,-0.03298746,6411.10224,5248.006776,5273.064384,-3169740.168,-4858481.52,3327135.84,-2294.63346,-3333.969456,-3340.793928,4.215557736,6.46806936,-4.454426448,6.918114,0.000615853127898312,0.00599779724958614,-0.0086258824206801,0.3786316949338,1662.97803699643,17.0945156674461,0.0000000000436248791526269,0.0000273075481042549,29.99455,-124.0819,134.1081,866.7132,-5.015403,-128.3724,8762507.46966341,291.923947412051,641712.8144,-4701277.924,91.01278,165.6502,7019848.8,1676858.1144,56.29807,344.5086,59.68098,-0.000457608129736955,0.000781561879066662,-0.000496153749321833,0.010277889528,0.0000010677994392,0.0000009388028976,-173.9261,-178.8324,672154.5088,-44858.5884,0.6143695,2853.6342,4348353,0.0000197497614586922,0.000664319657131079,-0.744628,-0.5030532,-0.4387102,-0.6497555,0.696753,0.3038963,0.1527967,0.511344,-0.8456834
240,332698.6488,6705657.912,20.12065,19.86298,11.00777,-13.19232,-0.5077288,-65.73724,1.706294,-21.46535,0.1539938,0.0104618,-0.03709511,6411.199776,5217.255504,5242.700208,-3192478.248,-4891497.456,3293507.256,-2252.4966888,-3269.333568,-3384.889344,4.212134832,6.460034832,-4.373462424,6.86615,0.000459932979739208,0.00506283464445122,-0.00606758272704998,0.320979560395956,1662.92043076544,15.6117721635449,0.0000000000328329549250252,0.000021163423995199,29.57314,-124.1335,135.3683,856.7576,-5.018402,-128.3728,8765210.32301378,250.189052550667,641735.2236,-4701118.652,91.01309,166.0685,7019873.184,1677018.744,56.29789,344.51,59.6809,-0.000341752196067768,0.000543025994948318,-0.000433911474583707,0.009386779296,0.000000873857028,0.0000008701345056,-173.8835,-178.8369,718873.246,-49798.35392,0.6143406,2853.7242,4348444.44,0.0000147495689196373,0.000496128839280788,-0.7405015,-0.506821,-0.4413503,-0.6499373,0.707153,0.2784172,0.1709945,0.4930184,-0.8530497
250,350249.0328,6723342.408,19.62176,19.36657,12.35201,-12.29382,1.296878,-65.64765,2.947138,-20.47358,0.1530535,-0.04562251,-0.04115058,6411.291216,5187.379008,5213.204712,-3214792.656,-4923870.264,3259439.76,-2210.391312,-3204.77388,-3428.189232,4.20945564,6.453189024,-4.295476296,6.824159,0.000350053339489379,0.00432386126100569,-0.00430349252003287,0.268558933457507,1662.86010298023,14.1290331078652,0.0000000000251638707255016,0.0000166389310425932,29.15395,-124.185,136.6287,846.7964,-5.021137,-128.3732,8767540.68228897,216.637330120695,641752.8176,-4700963.084,91.01337,166.4848,7019888.424,1677173.2776,56.29774,344.5112,59.68083,-0.00026010637830393,0.000379138342206413,-0.000381350353851249,0.008495602008,0.00000072454008,0.000000795416748,-173.8417,-178.8414,765353.0752,-54654.68684,0.6143127,2853.8088,4348532.832,0.0000112258434437845,0.000377602015424934,-0.7362041,-0.5121124,-0.4424302,-0.6501754,0.7166426,0.2523792,0.1878178,0.4734598,-0.8605581
260,367274.5512,6740499.6,19.11743,18.86485,13.15971,-11.47778,2.37677,-65.9239,3.556703,-19.72318,-0.02714355,-0.0188156,-0.0460305,6411.370464,5158.371192,5184.577896,-3236686.44,-4955593.848,3224945.544,-2168.3155008,-3140.29344,-3470.699688,4.206328392,6.444852744,-4.216002744,6.790095,0.000272665099342829,0.00358819305183758,-0.00312959018569284,0.221369678040742,1662.81020781953,12.6462940521856,0.0000000000197226712359163,0.0000133211355289134,28.7369,-124.2364,137.8892,836.8309,-5.02363,-128.3736,8769571.22925976,189.926665798831,641767.4484,-4700816.776,91.0136,166.899,7019903.664,1677319.2768,56.29761,344.5123,59.68079,-0.000202603194392486,0.000271156205618399,-0.000320960096182637,0.007604293656,0.0000006085770912,0.0000007251719304,-173.8006,-178.8457,811602.7008,-59429.55028,0.6142862,2853.888,4348612.08,0.0000087440827437551,0.000294123441391176,-0.7301937,-0.5149314,-0.4490688,-0.6527856,0.7198326,0.236034,0.201713,0.4654962,-0.861757
270,383776.728,6757129.488,18.60771,18.35788,13.99557,-10.89195,2.292176,-65.96561,3.11633,-19.3971,-0.02678799,0.006169012,-0.04922144,6411.443616,5130.229008,5156.810616,-3258159.6,-4986674.304,3190030.704,-2126.2652928,-3075.880056,-3512.435952,4.203947904,6.438601296,-4.13950404,6.761776,0.000215640476981393,0.00301801098777025,-0.00234874503696642,0.179411884864135,1662.76847732149,11.1635505482844,0.0000000000156839515096717,0.0000107933786524868,28.3219,-124.2876,139.1499,826.8605,-5.02588,-128.3738,8771358.74655954,167.90681482306,641778.5604,-4700677.876,91.01381,167.3114,7019915.856,1677458.2656,56.2975,344.5132,59.68077,-0.000160231214574161,0.000200727868641708,-0.000273409719170906,0.006712893864,0.0000005149385688,0.0000006469742712,-173.7603,-178.8499,857631.0124,-64124.87032,0.614261,2853.9618,4348685.232,0.00000691536545906212,0.000232611075337898,-0.7245203,-0.520399,-0.451946,-0.6597811,0.7133268,0.2363341,0.1993971,0.4694143,-0.8601692
280,399758.0016,6773238.168,18.09269,17.84575,15.07044,-10.31116,2.17871,-65.77398,2.666465,-19.04349,-0.02648681,0.02807798,-0.05192406,6411.504576,5102.952456,5129.908968,-3279209.088,-5017111.632,3154698.288,-2084.23764,-3011.5309848,-3553.416312,4.201863072,6.432352896,-4.064197104,6.737968,0.000172819102524142,0.00260445961490529,-0.00178196582290483,0.142685508568449,1662.73173633952,9.68081149260473,0.0000000000126308164667813,0.00000883838458608662,27.90888,-124.3387,140.4109,816.8856,-5.027894,-128.3741,8772942.98203171,149.529115519546,641786.1536,-4700546.384,91.01398,167.7218,7019921.952,1677589.9392,56.2974,344.5141,59.68076,-0.000128412862949122,0.000149967610430189,-0.000239289857682131,0.005821423968,0.0000004328729976,0.0000005604695928,-173.7209,-178.8541,903446.1588,-68743.88796,0.6142369,2854.0302,4348755.336,0.00000554212827488536,0.000186419674511845,-0.7192556,-0.5280977,-0.4514246,-0.6670732,0.7065102,0.2363401,0.1941255,0.4711222,-0.8604413
290,415219.2864,6788825.64,17.57245,17.32854,16.149,-9.744593,2.031419,-65.58357,2.204406,-18.66925,-0.02715214,-0.01025086,-0.05426988,6411.55944,5076.541536,5103.863808,-3299844.048,-5046905.832,3118963.536,-2042.2291896,-2947.2395208,-3593.65296,4.200226296,6.426994512,-3.991273704,6.717716,0.000140220067598675,0.00226441353682436,-0.00136638767867723,0.11104485528444,1662.69454176518,8.37266513532408,0.0000000000102926509972833,0.0000073103052728328,27.49777,-124.3897,141.672,806.9061,-5.029677,-128.3743,8774359.14090898,134.065500962692,641790.4132,-4700422.3,91.01413,168.1305,7019928.048,1677714.9072,56.29733,344.5148,59.68077,-0.000104190205589869,0.000113051463387413,-0.000210576453708976,0.005034902808,0.000000364993428,0.0000004831275072,-173.6823,-178.8582,949056.6592,-73288.39964,0.6142139,2854.0938,4348822.392,0.00000449671167908845,0.000151255192658943,-0.7136214,-0.5360501,-0.4509932,-0.6746057,0.6993791,0.2361694,0.1888166,0.4727781,-0.8607143
300,430162.1064,6803891.904,17.04712,16.8064,17.03681,-9.196464,1.848858,-65.58812,1.729562,-18.27664,-0.02692092,0.006263,-0.05637034,6411.60516,5050.990152,5078.675136,-3320055.336,-5076056.904,3082829.496,-2000.2384176,-2883.0029208,-3633.158088,4.198440168,6.421337424,-3.918048552,6.700215,0.000115072158575728,0.00196046247077834,-0.00105825714482482,0.08350590172463,1662.66732622298,7.26060973150895,0.00000000000847957923690509,0.00000610358389377729,27.08848,-124.4406,142.9332,796.9232,-5.031274,-128.3745,8775632.20755006,120.943715772979,641792.6356,-4700303.772,91.01425,168.5375,7019931.096,1677833.1696,56.29726,344.5154,59.6808,-0.0000855041162284827,0.0000859262969419871,-0.000183905183797171,0.00436624476,0.0000003096941736,0.0000004185979944,-173.6445,-178.8622,994470.6624,-77759.29432,0.614192,2854.1532,4348880.304,0.00000369024376237579,0.000124128157960438,-0.7070073,-0.5426219,-0.453544,-0.6823519,0.6919306,0.2358559,0.1858404,0.4762285,-0.859459
310,444588.5952,6818440.008,16.51678,16.27938,17.74944,-8.66987,1.632678,-65.77174,1.243839,-17.86723,-0.02763613,-0.03671439,-0.05827932,6411.647832,5026.298304,5054.342952,-3339846,-5104564.848,3046302.8736,-1958.2619712,-2818.8138696,-3671.943888,4.197102096,6.416872104,-3.846612576,6.684732,0.0000954221481704576,0.00169369042583055,-0.000827297618383963,0.059884852260695,1662.6382963113,6.14855432769383,0.00000000000705670077993242,0.00000514095607500354,26.68095,-124.4914,144.1947,786.9365,-5.032684,-128.3746,8776783.75935564,109.713110258605,641792.2652,-4700190.8,91.01435,168.9428,7019928.048,1677946.2504,56.29721,344.5158,59.68084,-0.0000709032291163355,0.0000657963593265034,-0.000159885943612384,0.003697562328,0.00000025846009776,0.0000003523451424,-173.6075,-178.8662,1039695.9468,-82160.53528,0.614171,2854.209,4348938.216,0.00000306008911618288,0.000102931759212696,-0.6995152,-0.5478797,-0.4588096,-0.6902717,0.6841874,0.2353987,0.1849416,0.4813682,-0.8567854
320,458499.3624,6832473,15.98156,15.74763,18.3513,-8.16225,1.387814,-66.06998,0.7512124,-17.43963,-0.02745674,-0.02480458,-0.05991874,6411.68136,5002.465992,5030.864208,-3359219.088,-5132432.712,3009392.2032,-1916.2968024,-2754.6687096,-3710.0256,4.19605968,6.412705488,-3.77636532,6.670692,0.0000798741353125501,0.00146579475716185,-0.000651952927959126,0.0401817250363298,1662.61833824702,5.0364989238787,0.00000000000592669149029987,0.00000436527193939261,26.27509,-124.5421,145.4562,776.9468,-5.033923,-128.3747,8777831.96676841,100.017055412166,641790.0428,-4700083.384,91.01443,169.3465,7019928.048,1678052.9304,56.29718,344.5162,59.68089,-0.0000593503079371809,0.0000506723168701853,-0.000139054966270335,0.003028840272,0.00000021009397656,0.00000028404500976,-173.5714,-178.8701,1084740.6612,-86492.1966,0.6141511,2854.26,4348990.032,0.00000256148039335158,0.0000861601399523013,-0.6913618,-0.552315,-0.4657972,-0.6983388,0.676182,0.2347358,0.1853155,0.4875716,-0.8531894
330,471896.5416,6845987.832,15.44157,15.21126,19.06092,-7.67653,1.118526,-66.2642,0.2559552,-16.99593,-0.02731574,-0.01520219,-0.06121073,6411.708792,4979.493216,5008.235856,-3378174.6,-5159660.496,2972104.4952,-1874.3395584,-2690.5613448,-3747.40932,4.195315968,6.409133232,-3.707309832,6.657537,0.0000675151392237689,0.00128690022433621,-0.000518281778543004,0.0243964883000685,1662.60291610644,3.92444396488574,0.00000000000502598248303154,0.00000373855669594201,25.87086,-124.5927,146.7179,766.9539,-5.034988,-128.3748,8778790.45762039,91.6329860237456,641785.9684,-4699983.376,91.01448,169.7487,7019921.952,1678153.8192,56.29715,344.5165,59.68096,-0.0000501669544124756,0.0000392703772290959,-0.00012274178072961,0.0023600947464,0.00000016382509272,0.00000021289917288,-173.5362,-178.8738,1129611.8432,-90757.20444,0.6141322,2854.308,4349038.8,0.00000216513939921026,0.0000728284639136364,-0.6832937,-0.5577283,-0.4712206,-0.7064912,0.6679701,0.2338505,0.1843362,0.4927018,-0.8504499
340,484781.0472,6858990.6,14.89692,14.67037,19.85367,-7.218051,0.8249188,-66.37778,-0.2415138,-16.54016,-0.02721203,-0.00790776,-0.06216542,6411.72708,4957.37388,4986.460944,-3396706.44,-5186245.152,2934446.4552,-1832.3868864,-2626.4856792,-3784.110288,4.195166616,6.40645404,-3.639443064,6.644471,0.0000577293240131089,0.00114613896617028,-0.000416693131818469,0.0125291556596822,1662.59066911245,2.81238856107061,0.00000000000431199831393998,0.00000323539981240831,25.46815,-124.6432,147.9798,756.9579,-5.035888,-128.3748,8779670.58843826,84.4262363999445,641780.042,-4699888.924,91.01451,170.1494,7019915.856,1678248.9168,56.29713,344.5168,59.68103,-0.0000428956378115387,0.0000307040543175299,-0.000109921338801187,0.0016913312376,0.00000011912059488,0.00000013952476032,-173.5018,-178.8776,1174317.8268,-94957.17004,0.6141143,2854.3518,4349081.472,0.00000185131869872011,0.0000622725226451101,-0.6752757,-0.5638971,-0.4754186,-0.7146805,0.6595752,0.2327925,0.1823033,0.4969715,-0.8484013
350,497154.0984,6871478.256,14.34773,14.12509,20.70552,-6.784384,0.5093973,-66.43398,-0.7406967,-16.07607,-0.02714443,-0.002921963,-0.0627928,6411.74232,4936.111032,4965.533376,-3414820.704,-5212189.728,2896424.484,-1790.4357384,-2562.436836,-3820.137648,4.195166616,6.403777896,-3.572768064,6.630911,0.0000497147911031674,0.0010293700269768,-0.000337284153221913,0.0045797225792472,1662.58295804216,1.70033360207765,0.0000000000037268134961107,0.00000281905510523444,25.06693,-124.6936,149.2418,746.9589,-5.036624,-128.3749,8780482.58009604,78.0430620911385,641772.634,-4699800.028,91.01453,170.5488,7019909.76,1678337.9184,56.29713,344.5169,59.68111,-0.0000369404565739035,0.000024100064371536,-0.0000992601081270273,0.001022555232,0.00000007545573936,0.00000006472415808,-173.4684,-178.8812,1218865.6496,-99093.42684,0.6140975,2854.392,4349124.144,0.00000159430089861252,0.0000536272704892029,-0.6672691,-0.5705916,-0.4787245,-0.7228618,0.6510213,0.2316074,0.1795067,0.5005961,-0.8468653
360,509016.9144,6883453.848,13.79347,13.57487,13.35092,-8.971091,0.900554,-74.7585,-0.4343576,-18.17809,-0.06184374,-2.032688,0.5007654,6411.748416,4915.719912,4945.47144,-3432517.392,-5237494.224,2858045.592,-1748.483676,-2498.3660472,-3855.549312,4.19546532,6.401991768,-3.506687424,6.616718,0.0000430787883055806,0.000575141501292512,-0.000386463738790198,0.00054819722342616,1662.34164690132,0.588278198262524,0.00000000000324193582694765,0.00000247108436548967,24.66711,-124.7439,150.5052,736.9452,-5.036984,-128.375,8781233.24650973,72.3448680456977,641752.4472,-4699688.908,91.01479,170.947,7019888.424,1678447.6464,56.29701,344.5166,59.68112,-0.0000320095984651656,0.0000311132818096906,-0.0000516035520653401,0.0003538215936,0.000000039845742,0.000000012047186472,-173.4355,-178.8845,1263262.3492,-103168.91952,0.6140762,2854.4358,4349169.864,0.0000013814917490282,0.0000464690143370611,-0.660336,-0.4676478,-0.5875899,-0.7002622,0.6660829,0.2568391,0.2712734,0.5810671,-0.7673146
370,520370.4096,6894917.376,13.2356,13.0212,-6.12025,-15.09895,0.7916201,-95.07269,-0.6189092,-24.22959,-0.06908458,-2.038528,0.7407554,6411.748416,4896.160896,4926.23856,-3449790.408,-5262158.64,2819316.18,-1706.5306992,-2434.3485984,-3890.256888,4.19487096,6.401693064,-3.441502896,6.601852,0.0000375291550680763,-0.000229687826762338,-0.000566650894967529,0,1662.31851369045,0,0.00000000000283606830753837,0.00000217751852761648,24.26863,-124.7941,151.7675,726.9402,-5.037383,-128.375,8781930.53724802,67.2230063728533,641742.4464,-4699612.976,91.01485,171.3438,7019879.28,1678523.2368,56.29698,344.5165,59.68118,-0.0000278859546847275,0.0000520800455647668,0.0000154861099029137,-0.000000016773226296,0.00000003132582,0.000000009314797728,-173.4038,-178.8879,1307515.5188,-107184.963,0.6140617,2854.4682,4349200.344,0.00000120352062631243,0.000040482637721238,-0.5952714,-0.1644742,-0.7865114,-0.6381335,0.6915982,0.3383455,0.4883007,0.7033066,-0.5166451
