"Time (sec)","Elevation (deg)","Azimuth (deg)","Aspect Angle (deg)","Range (m)","Range Rate (m/s)"
104,10.129913,-64.149324,60.832425,411616.79424,-122.805364752
105,10.295804,-64.497848,61.542565,411495.24,-121.130379024
106,10.462916,-64.849458,62.287717,411374.72208,-119.2672494
107,10.631273,-65.204432,63.062485,411256.52064,-117.157628016
108,10.800954,-65.562765,63.838759,411140.6052,-114.771260424
109,10.972025,-65.924658,64.624764,411027.09768,-112.071110376
110,11.144534,-66.290353,65.419063,410916.79056,-108.971175504
111,11.318548,-66.659846,66.224616,410809.68384,-105.433599648
112,11.494131,-67.033343,67.037934,410705.99088,-101.425891128
113,11.671313,-67.411032,67.847249,410606.80896,-96.899833632
114,11.850153,-67.793062,68.681836,410512.5648,-91.804214664
115,12.030728,-68.17955,69.512306,410423.07552,-86.095313712
116,12.213041,-68.570716,70.352282,410340.23088,-79.719156792
117,12.397167,-68.966678,71.20097,410263.87848,-72.615884232
118,12.583125,-69.367622,72.063871,410195.29848,-64.73506992
119,12.770966,-69.773757,72.933471,410135.03952,-56.014668768
120,12.960727,-70.185179,73.812124,410083.92456,-46.395266112
121,13.152446,-70.602039,74.708741,410042.62416,-35.814509016
122,13.346141,-71.024637,75.600885,410012.388,-24.2017424016
123,13.54183,-71.453007,76.504861,409994.22192,-11.4917896656
124,13.739518,-71.887387,77.42155,409989.58896,2.37267759144
125,13.939201,-72.32801,78.352627,409999.8912,17.4744976392
126,14.140946,-72.774911,79.287382,410024.91528,33.867702648
127,14.344676,-73.228314,80.224634,410067.61776,51.63027012
127.36,14.418506,-73.393127,80.561235,410087.5212,58.366941432
127.44,14.434953,-73.42986,80.638557,410092.18464,59.888798688
127.52,14.451412,-73.46666,80.717987,410096.97,61.42126908
127.6,14.467884,-73.503525,80.800038,410101.8468,62.9645172
128,14.550407,-73.688362,81.292277,410129.09592,70.683168768
128.08,14.566981,-73.725478,81.39926,410134.308,72.265208784
128.16,14.583533,-73.762626,81.504114,410140.43448,73.858791576
129,14.758293,-74.15553,82.333921,410209.41072,91.26880908
130,14.968247,-74.629973,83.152317,410311.88448,113.398870992
131,15.180314,-75.11186,84.054441,410437.06584,137.138246424
132,15.394452,-75.601286,85.020467,410587.0884,162.617782968
133,15.610645,-76.098499,85.994084,410763.1104,189.932968368
134,15.82882,-76.603521,86.991563,410967.41784,219.165028776
135,16.048905,-77.11655,88.005234,411201.99192,250.384845432
136,16.270845,-77.637634,89.029607,411468.44808,283.675229448
137,16.494487,-78.167053,90.076852,411770.20008,319.116456
138,16.719823,-78.704804,91.131388,412107.5832,356.7781536
139,16.94667,-79.250963,92.195822,412484.28552,396.72899064
140,17.174949,-79.805729,93.268218,412901.86152,439.03888824
141,17.404527,-80.369121,94.343852,413362.87152,483.77984016
142,17.635235,-80.941222,95.442203,413870.36352,531.01987776
143,17.866963,-81.522073,96.515222,414426.25776,580.80164256
144,18.099565,-82.111782,97.616982,415033.02312,633.18204072
145,18.332869,-82.710253,98.720546,415693.37232,688.19082072
146,18.566689,-83.317563,99.840671,416409.8352,745.83712656
