148,0.0289969,-3.90722,6.17198
149,0.0291928,-3.86606,6.21369
150,0.0293887,-3.82489,6.25539
151,0.0295846,-3.78372,6.29709
152,0.0297806,-3.74255,6.33879
153,0.0299765,-3.70139,6.3805
154,0.0301724,-3.66022,6.4222
155,0.0303683,-3.61905,6.4639
156,0.0305643,-3.57788,6.5056
157,0.0307602,-3.53672,6.54731
158,0.0309561,-3.49555,6.58901
159,0.031152,-3.45438,6.63071
160,0.031348,-3.41321,6.67241
161,0.0315439,-3.37205,6.71412
162,0.0317398,-3.33088,6.75582
163,0.0319357,-3.28971,6.79752
164,0.0321317,-3.24854,6.83922
165,0.0323276,-3.20738,6.88093
166,0.0325235,-3.16621,6.92263
167,0.0327194,-3.12504,6.96433
168,0.0329154,-3.08388,7.00603
169,0.0331113,-3.04271,7.04774
170,0.0333072,-3.00154,7.08944
171,0.0335031,-2.96037,7.13114
172,0.0336991,-2.91921,7.17284
173,0.033895,-2.87804,7.21455
174,0.0340909,-2.83687,7.25625
175,0.0342868,-2.7957,7.29795
176,0.0344828,-2.75454,7.33966
177,0.0346787,-2.71337,7.38136
178,0.0348746,-2.6722,7.42306
179,0.0350705,-2.63103,7.46476
180,0.0352665,-2.58987,7.50647
181,0.0354624,-2.5487,7.54817
182,0.0356583,-2.50753,7.58987
183,0.0358542,-2.46636,7.63157
184,0.0360502,-2.4252,7.67328
185,0.0362461,-2.38403,7.71498
186,0.036442,-2.34286,7.75668
187,0.0366379,-2.30169,7.79838
188,0.0368339,-2.26053,7.84009
189,0.0370298,-2.21936,7.88179
190,0.0372257,-2.17819,7.92349
191,0.0374216,-2.13702,7.96519
192,0.0376176,-2.09586,8.0069
193,0.0378135,-2.05469,8.0486
194,0.0380094,-2.01352,8.0903
195,0.0382053,-1.97236,8.132
196,0.0384013,-1.93119,8.17371
197,0.0385972,-1.89002,8.21541
198,0.0387931,-1.84885,8.25711
199,0.038989,-1.80769,8.29881
200,0.039185,-1.76652,8.34052
201,0.0393809,-1.72535,8.38222
202,0.0395768,-1.68418,8.42392
