4.1,-2818147.991,3734588.830,-4342021.399,218.334,-199.335,-265.757,12174.282,-2818184.119,3734615.296,-4342067.716,12237.185
4.2,-2818127.195,3734567.563,-4342048.620,218.087,-200.150,-265.729,12171.098,-2818164.299,3734596.524,-4342096.851,12237.195
4.3,-2818106.417,3734546.210,-4342075.829,217.810,-200.984,-265.728,12167.864,-2818144.479,3734577.752,-4342125.985,12237.206
4.4,-2818085.661,3734524.772,-4342103.030,217.502,-201.838,-265.751,12164.584,-2818124.658,3734558.980,-4342155.119,12237.217
4.5,-2818064.926,3734503.249,-4342130.223,217.165,-202.710,-265.800,12161.259,-2818104.838,3734540.207,-4342184.254,12237.229
4.6,-2818044.216,3734481.640,-4342157.411,216.797,-203.600,-265.875,12157.891,-2818085.018,3734521.435,-4342213.388,12237.240
4.7,-2818023.532,3734459.947,-4342184.595,216.400,-204.509,-265.974,12154.482,-2818065.198,3734502.663,-4342242.522,12237.252
4.8,-2818002.874,3734438.169,-4342211.778,215.974,-205.435,-266.098,12151.034,-2818045.377,3734483.890,-4342271.657,12237.264
4.9,-2817982.246,3734416.307,-4342238.960,215.519,-206.378,-266.247,12147.550,-2818025.557,3734465.118,-4342300.791,12237.277
5,-2817961.649,3734394.360,-4342266.144,215.035,-207.337,-266.420,12144.031,-2818005.737,3734446.346,-4342329.926,12237.289
5.1,-2817941.084,3734372.329,-4342293.332,214.524,-208.313,-266.617,12140.480,-2817985.917,3734427.574,-4342359.060,12237.302
5.2,-2817920.552,3734350.214,-4342320.525,213.984,-209.305,-266.839,12136.898,-2817966.096,3734408.801,-4342388.194,12237.315
5.3,-2817900.057,3734328.016,-4342347.726,213.417,-210.312,-267.084,12133.288,-2817946.276,3734390.029,-4342417.329,12237.329
5.4,-2817879.598,3734305.734,-4342374.935,212.823,-211.335,-267.353,12129.652,-2817926.456,3734371.257,-4342446.463,12237.343
5.5,-2817859.179,3734283.368,-4342402.156,212.201,-212.372,-267.646,12125.991,-2817906.636,3734352.485,-4342475.597,12237.356
5.6,-2817838.800,3734260.919,-4342429.390,211.553,-213.423,-267.962,12122.309,-2817886.815,3734333.712,-4342504.732,12237.371
5.7,-2817818.463,3734238.388,-4342456.638,210.879,-214.488,-268.301,12118.607,-2817866.995,3734314.940,-4342533.866,12237.385
5.8,-2817798.170,3734215.773,-4342483.903,210.178,-215.566,-268.662,12114.886,-2817847.175,3734296.168,-4342563.000,12237.400
5.9,-2817777.923,3734193.075,-4342511.186,209.452,-216.658,-269.047,12111.150,-2817827.355,3734277.395,-4342592.135,12237.414
6,-2817757.723,3734170.295,-4342538.489,208.701,-217.762,-269.454,12107.400,-2817807.534,3734258.623,-4342621.269,12237.430
6.1,-2817737.572,3734147.433,-4342565.814,207.924,-218.878,-269.884,12103.638,-2817787.714,3734239.851,-4342650.403,12237.445
6.2,-2817717.471,3734124.489,-4342593.163,207.123,-220.006,-270.336,12099.867,-2817767.894,3734221.079,-4342679.538,12237.461
6.3,-2817697.422,3734101.462,-4342620.538,206.297,-221.146,-270.810,12096.088,-2817748.074,3734202.306,-4342708.672,12237.477
6.4,-2817677.427,3734078.354,-4342647.940,205.447,-222.296,-271.306,12092.304,-2817728.253,3734183.534,-4342737.806,12237.493
6.5,-2817657.487,3734055.164,-4342675.372,204.573,-223.457,-271.823,12088.516,-2817708.433,3734164.762,-4342766.941,12237.509
6.6,-2817637.605,3734031.892,-4342702.835,203.676,-224.629,-272.362,12084.727,-2817688.613,3734145.989,-4342796.075,12237.526
6.7,-2817617.781,3734008.539,-4342730.331,202.755,-225.810,-272.922,12080.939,-2817668.793,3734127.217,-4342825.209,12237.543
6.8,-2817598.017,3733985.106,-4342757.861,201.811,-227.000,-273.503,12077.153,-2817648.972,3734108.445,-4342854.344,12237.560
6.9,-2817578.316,3733961.591,-4342785.429,200.845,-228.200,-274.105,12073.372,-2817629.152,3734089.673,-4342883.478,12237.577
7,-2817558.678,3733937.995,-4342813.034,199.857,-229.408,-274.728,12069.599,-2817609.332,3734070.900,-4342912.613,12237.595
7.1,-2817539.105,3733914.319,-4342840.681,198.846,-230.624,-275.371,12065.834,-2817589.512,3734052.128,-4342941.747,12237.613
