-446575999.953040,1985 NOV 06 19:06:40.046,1985-NOV-06 19:05:44.864,0.145659,0.978219,-0.025445,0.145683,-0.915120,0.277559,-0.292432,0.292387,0.956272,-0.007342,0.277606,-0.092222,-0.956258
-446575711.954000,1985 NOV 06 19:11:28.046,1985-NOV-06 19:10:32.863,0.145505,0.978236,-0.025370,0.145736,-0.915179,0.277281,-0.292511,0.292071,0.956369,-0.007225,0.277746,-0.092046,-0.956235
-446575471.954800,1985 NOV 06 19:15:28.045,1985-NOV-06 19:14:32.862,0.145456,0.978245,-0.025345,0.145728,-0.915212,0.277196,-0.292489,0.291970,0.956401,-0.007193,0.277743,-0.091981,-0.956242
-446575183.955760,1985 NOV 06 19:20:16.044,1985-NOV-06 19:19:20.861,0.145477,0.978242,-0.025287,0.145741,-0.915192,0.277252,-0.292497,0.291994,0.956394,-0.007070,0.277783,-0.091878,-0.956240
-446574943.956560,1985 NOV 06 19:24:16.043,1985-NOV-06 19:23:20.860,0.145565,0.978230,-0.025388,0.145716,-0.915155,0.277393,-0.292479,0.292190,0.956333,-0.007249,0.277696,-0.092094,-0.956245
-446574655.957520,1985 NOV 06 19:29:04.042,1985-NOV-06 19:28:08.859,0.145344,0.978291,-0.025364,0.145531,-0.915392,0.276995,-0.292116,0.291759,0.956464,-0.007322,0.277370,-0.091930,-0.956355
-446574367.958480,1985 NOV 06 19:33:52.041,1985-NOV-06 19:32:56.858,0.145346,0.978271,-0.025357,0.145661,-0.915315,0.276988,-0.292363,0.291762,0.956463,-0.007269,0.277621,-0.091954,-0.956280
-446574079.959440,1985 NOV 06 19:38:40.040,1985-NOV-06 19:37:44.857,0.145586,0.978181,-0.025284,0.146042,-0.914953,0.277434,-0.293072,0.292205,0.956331,-0.006942,0.278348,-0.091989,-0.956065
-446573791.960400,1985 NOV 06 19:43:28.039,1985-NOV-06 19:42:32.856,0.145467,0.978242,-0.025366,0.145733,-0.915203,0.277210,-0.292504,0.291996,0.956392,-0.007230,0.277744,-0.092027,-0.956237
-446573503.961360,1985 NOV 06 19:48:16.038,1985-NOV-06 19:47:20.856,0.145273,0.978319,-0.025484,0.145393,-0.915513,0.276835,-0.291886,0.291656,0.956493,-0.007620,0.277078,-0.092106,-0.956423
-446573215.962320,1985 NOV 06 19:53:04.037,1985-NOV-06 19:52:08.855,0.145520,0.978228,-0.025395,0.145772,-0.915149,0.277299,-0.292587,0.292107,0.956358,-0.007259,0.277805,-0.092109,-0.956211
-446572927.963280,1985 NOV 06 19:57:52.036,1985-NOV-06 19:56:56.854,0.145430,0.978225,-0.025318,0.145896,-0.915129,0.277139,-0.292803,0.291915,0.956418,-0.007098,0.278074,-0.091969,-0.956147
-446572687.964080,1985 NOV 06 20:01:52.035,1985-NOV-06 20:00:56.853,0.145385,0.978266,-0.025363,0.145655,-0.915295,0.277062,-0.292354,0.291840,0.956440,-0.007272,0.277604,-0.091976,-0.956282
-446572399.965040,1985 NOV 06 20:06:40.034,1985-NOV-06 20:05:44.852,0.145601,0.978236,-0.025387,0.145635,-0.915181,0.277470,-0.292324,0.292259,0.956312,-0.007259,0.277539,-0.092078,-0.956292
-446572159.965840,1985 NOV 06 20:10:40.034,1985-NOV-06 20:09:44.851,0.146082,0.978136,-0.025461,0.145816,-0.914796,0.278350,-0.292694,0.293200,0.956024,-0.007207,0.277816,-0.092411,-0.956179
-446571871.966800,1985 NOV 06 20:15:28.033,1985-NOV-06 20:14:32.850,0.145467,0.978242,-0.025366,0.145733,-0.915203,0.277210,-0.292503,0.291997,0.956392,-0.007230,0.277744,-0.092027,-0.956237
-446571583.967760,1985 NOV 06 20:20:16.032,1985-NOV-06 20:19:20.849,0.145320,0.978265,-0.025299,0.145741,-0.915284,0.276948,-0.292499,0.291697,0.956484,-0.007141,0.277793,-0.091857,-0.956239
-446571295.968720,1985 NOV 06 20:25:04.031,1985-NOV-06 20:24:08.848,0.145702,0.978233,-0.025421,0.145548,-0.915173,0.277662,-0.292167,0.292462,0.956249,-0.007323,0.277352,-0.092149,-0.956339
-446571007.969680,1985 NOV 06 20:29:52.030,1985-NOV-06 20:28:56.847,0.145602,0.978234,-0.025375,0.145654,-0.915170,0.277473,-0.292356,0.292257,0.956312,-0.007230,0.277578,-0.092060,-0.956282
-446570719.970640,1985 NOV 06 20:34:40.029,1985-NOV-06 20:33:44.846,0.145475,0.978193,-0.025329,0.146059,-0.915007,0.277206,-0.293118,0.292004,0.956391,-0.007056,0.278379,-0.092048,-0.956050
-446570431.971600,1985 NOV 06 20:39:28.028,1985-NOV-06 20:38:32.845,0.145477,0.978237,-0.025389,0.145757,-0.915183,0.277220,-0.292557,0.292023,0.956384,-0.007264,0.277783,-0.092081,-0.956220
-446570143.972560,1985 NOV 06 20:44:16.027,1985-NOV-06 20:43:20.844,0.145473,0.978280,-0.025460,0.145454,-0.915361,0.277221,-0.291998,0.292034,0.956379,-0.007495,0.277183,-0.092134,-0.956390
-446569903.973360,1985 NOV 06 20:48:16.026,1985-NOV-06 20:47:20.844,0.145368,0.978250,-0.025371,0.145776,-0.915235,0.277015,-0.292588,0.291809,0.956449,-0.007257,0.277835,-0.092021,-0.956211
-446569615.974320,1985 NOV 06 20:53:04.025,1985-NOV-06 20:52:08.843,0.145759,0.978163,-0.025407,0.145964,-0.914898,0.277734,-0.292960,0.292568,0.956218,-0.007153,0.278147,-0.092255,-0.956098
-446569183.975760,1985 NOV 06 21:00:16.024,1985-NOV-06 20:59:20.841,0.145455,0.978246,-0.025319,0.145730,-0.915211,0.277202,-0.292486,0.291961,0.956404,-0.007142,0.277754,-0.091931,-0.956243
-446568895.976720,1985 NOV 06 21:05:04.023,1985-NOV-06 21:04:08.840,0.145363,0.978276,-0.025368,0.145607,-0.915336,0.277022,-0.292264,0.291797,0.956452,-0.007303,0.277513,-0.091966,-0.956310
-446568655.977520,1985 NOV 06 21:09:04.022,1985-NOV-06 21:08:08.839,0.145373,0.978268,-0.025341,0.145657,-0.915301,0.277046,-0.292351,0.291811,0.956449,-0.007232,0.277615,-0.091931,-0.956284
-446568367.978480,1985 NOV 06 21:13:52.021,1985-NOV-06 21:12:56.838,0.145326,0.978248,-0.025353,0.145840,-0.915222,0.276934,-0.292704,0.291724,0.956475,-0.007215,0.277966,-0.091992,-0.956176
-446568079.979440,1985 NOV 06 21:18:40.020,1985-NOV-06 21:17:44.837,0.145432,0.978247,-0.025372,0.145734,-0.915223,0.277141,-0.292507,0.291931,0.956412,-0.007251,0.277747,-0.092029,-0.956236
-446567791.980400,1985 NOV 06 21:23:28.019,1985-NOV-06 21:22:32.836,0.145530,0.978272,-0.025395,0.145462,-0.915323,0.277348,-0.291995,0.292125,0.956352,-0.007348,0.277212,-0.092025,-0.956392
-446567503.981360,1985 NOV 06 21:28:16.018,1985-NOV-06 21:27:20.836,0.145548,0.978218,-0.025342,0.145818,-0.915105,0.277365,-0.292661,0.292146,0.956347,-0.007132,0.277908,-0.092027,-0.956190
-446567215.982320,1985 NOV 06 21:33:04.017,1985-NOV-06 21:32:08.835,0.145588,0.978189,-0.025301,0.145979,-0.914988,0.277439,-0.292957,0.292212,0.956328,-0.006993,0.278223,-0.092004,-0.956100
